ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,return
SPXL,2010-01-04,2010-01-22,4.38419,3.92276,1140.2334296643164,-528.137911450006,-0.10562758229000119
TECL,2010-01-04,2010-01-22,0.9582,0.7756,5216.030056355667,-954.4470882905453,-0.1909276031787448
TQQQ,2010-02-12,2010-05-05,0.207598,0.274194,41018.77185839675,2729.68613068179,0.32052056300669135
SOXL,2010-07-26,2010-07-28,0.584407,0.542775,9619.238930181567,-402.4681551413187,-0.07158106458178758
TQQQ,2010-07-28,2010-07-29,0.227867,0.222404,15621.471265416158,-87.34009752296834,-0.02452947847946028
SPXL,2010-07-28,2010-07-29,3.89789,3.83886,425.47753207317743,-27.115938718279494,-0.016340172868071705
TECL,2010-07-26,2010-07-29,0.7924,0.7486,7095.596372375845,-312.7871211100619,-0.05562093155712304
SPXL,2010-07-30,2010-08-11,3.84665,3.71042,2707.652065680166,-370.8634409076094,-0.035603836585567115
TQQQ,2010-09-10,2011-03-10,0.231553,0.396703,21689.47579504692,3580.0169275519975,0.7126875087005439
SPXL,2010-09-10,2011-03-10,3.92146,6.3196,1280.4575818114936,3068.7165452454155,0.6110226465444691
SPXL,2011-03-11,2011-03-14,6.43816,6.32769,2592.8619124623206,-288.4334554697125,-0.017277403014897098
SPXL,2011-03-29,2011-04-18,6.67506,6.47361,2457.6298033079406,-497.0895238763842,-0.030299572353871814
SPXL,2011-04-19,2011-05-23,6.57519,6.66677,2419.357747987863,219.56478256072842,0.013801522040450527
SPXL,2011-05-31,2011-06-01,7.12551,6.6489,2263.318927845592,-1080.720434200488,-0.06700770220046116
SPXL,2011-07-06,2011-07-14,7.00775,6.51506,1073.4245099605835,-530.8655218124795,-0.07056294238184722
SPXL,2011-07-15,2011-07-18,6.63012,6.44515,718.0490356403224,-134.81753012239005,-0.028312593921076337
SPXL,2011-07-19,2011-07-27,6.76835,6.41049,683.465503713198,-246.58496515880506,-0.053293385837241025
TECL,2011-07-15,2011-07-29,1.1206,1.1166,1989.7142742139797,-9.958857096855809,-0.00446450620742202
TQQQ,2011-07-06,2011-08-02,0.439153,0.389709,17131.36562809836,-849.0432421156947,-0.1128403043103918
TQQQ,2011-09-20,2011-09-21,0.367095,0.348456,36163.14878450083,-676.0449301943117,-0.05092114254833852
TECL,2011-10-12,2011-11-17,0.9521,0.9494,13233.133255805085,-37.72945979067299,-0.0029943383158018695
SPXL,2011-12-06,2011-12-13,4.99664,4.57635,2513.996748427213,-1058.6076933964741,-0.0842670328116003
SPXL,2011-12-22,2012-04-10,4.91783,6.26986,2339.0253464769776,3160.4324391972677,0.27472635077935614
TECL,2012-04-10,2012-04-19,1.5132,1.453,4844.488983234914,-293.63823679074267,-0.04005060335101752
TQQQ,2012-04-10,2012-04-23,0.557493,0.530232,13151.161950788746,-360.5138259404521,-0.049165351560100407
SPXL,2012-04-19,2012-04-23,6.54173,6.39251,1075.7158263395659,-162.5183156063904,-0.02309140869443962
TQQQ,2012-04-25,2012-05-04,0.562235,0.518109,24627.942195922624,-1088.7325773372813,-0.07862195733615684
TQQQ,2012-07-03,2012-07-10,0.513751,0.478439,12416.480457641228,-440.45075792022635,-0.06903639346635922
SPXL,2012-07-03,2012-07-10,6.35766,5.9137,1003.1960267761468,-447.37890804753806,-0.07013330666278166
SPXL,2012-07-13,2012-07-23,6.11176,6.02497,1942.1784947739295,-170.56167156143056,-0.014367771919606255
SPXL,2012-07-26,2012-10-23,6.15071,6.90458,1902.1490471275806,1431.97310215807,0.12238493073746061
SOXL,2012-12-07,2012-12-27,0.400306,0.399833,32803.75579635617,-17.51617649167747,-0.0013337995646283507
SPXL,2012-12-27,2012-12-28,6.99717,6.75437,1874.1897211764863,-457.0532643016504,-0.0348495939556824
SOXL,2012-12-31,2013-04-02,0.413533,0.547205,15301.041062046832,2043.320760845926,0.3228767433805576
TQQQ,2013-04-02,2013-04-05,0.608662,0.578285,9211.457691403984,-281.8164502917789,-0.05025558541965266
TECL,2013-04-02,2013-04-05,1.3653,1.3011,2023.8349908386479,-131.93020641184148,-0.047729172583992084
TQQQ,2013-04-08,2013-04-17,0.587152,0.582167,13551.958466723638,-69.55651295661755,-0.008740386120802093
