date,action,ticker,price,shares,cash_after
2010-01-04,BUY,SPXL,4.38419,1140.2334296643164,5000.0
2010-01-04,BUY,TECL,0.9582,5216.030056355667,1.0
2010-01-22,SELL,SPXL,3.92276,1140.2334296643164,4472.862088549994
2010-01-22,SELL,TECL,0.7756,5216.030056355667,8517.415000259449
2010-02-12,BUY,TQQQ,0.207598,41018.77185839675,1.0
2010-05-05,SELL,TQQQ,0.274194,41018.77185839675,11247.101130941239
2010-07-26,BUY,TECL,0.7924,7095.596372375845,5623.550565470619
2010-07-26,BUY,SOXL,0.584407,9619.238930181567,1.0
2010-07-28,SELL,SOXL,0.542775,9619.238930181567,5221.082410329301
2010-07-28,BUY,TQQQ,0.227867,15621.471265416158,1660.4646174927175
2010-07-28,BUY,SPXL,3.89789,425.47753207317743,1.0
2010-07-29,SELL,TQQQ,0.222404,15621.471265416158,3474.277695313615
2010-07-29,SELL,SPXL,3.83886,425.47753207317743,5106.626374088053
2010-07-29,SELL,TECL,0.7486,7095.596372375845,10417.38981844861
2010-07-30,BUY,SPXL,3.84665,2707.652065680166,1.0
2010-08-11,SELL,SPXL,3.71042,2707.652065680166,10046.526377541
2010-09-10,BUY,TQQQ,0.231553,21689.47579504692,5023.2631887705
2010-09-10,BUY,SPXL,3.92146,1280.4575818114936,1.0
2011-03-10,SELL,TQQQ,0.396703,21689.47579504692,8604.280116322498
2011-03-10,SELL,SPXL,6.3196,1280.4575818114936,16695.259850338414
2011-03-11,BUY,SPXL,6.43816,2592.8619124623206,1.0
2011-03-14,SELL,SPXL,6.32769,2592.8619124623206,16406.8263948687
2011-03-29,BUY,SPXL,6.67506,2457.6298033079406,1.0
2011-04-18,SELL,SPXL,6.47361,2457.6298033079406,15909.736870992318
2011-04-19,BUY,SPXL,6.57519,2419.357747987863,1.0
2011-05-23,SELL,SPXL,6.66677,2419.357747987863,16129.301653553046
2011-05-31,BUY,SPXL,7.12551,2263.318927845592,1.0
2011-06-01,SELL,SPXL,6.6489,2263.318927845592,15048.581219352558
2011-07-06,BUY,TQQQ,0.439153,17131.36562809836,7524.290609676279
2011-07-06,BUY,SPXL,7.00775,1073.4245099605835,1.0000000000009095
2011-07-14,SELL,SPXL,6.51506,1073.4245099605835,6993.4250878637995
2011-07-15,BUY,SPXL,6.63012,718.0490356403224,2231.6738156841857
2011-07-15,BUY,TECL,1.1206,1989.7142742139797,1.0
2011-07-18,SELL,SPXL,6.44515,718.0490356403224,4627.933742057224
2011-07-19,BUY,SPXL,6.76835,683.465503713198,1.0
2011-07-27,SELL,SPXL,6.41049,683.465503713198,4381.348776898419
2011-07-29,SELL,TECL,1.1166,1989.7142742139797,6602.063735485748
2011-08-02,SELL,TQQQ,0.389709,17131.36562809836,13277.311103046333
2011-09-20,BUY,TQQQ,0.367095,36163.14878450083,1.0
2011-09-21,SELL,TQQQ,0.348456,36163.14878450083,12601.266172852022
2011-10-12,BUY,TECL,0.9521,13233.133255805085,1.0
2011-11-17,SELL,TECL,0.9494,13233.133255805085,12563.536713061349
2011-12-06,BUY,SPXL,4.99664,2513.996748427213,1.0
2011-12-13,SELL,SPXL,4.57635,2513.996748427213,11504.929019664874
2011-12-22,BUY,SPXL,4.91783,2339.0253464769776,0.999999999998181
2012-04-10,SELL,SPXL,6.26986,2339.0253464769776,14665.361458862142
2012-04-10,BUY,TQQQ,0.557493,13151.161950788746,7332.680729431071
2012-04-10,BUY,TECL,1.5132,4844.488983234914,0.9999999999990905
2012-04-19,SELL,TECL,1.453,4844.488983234914,7039.042492640328
2012-04-19,BUY,SPXL,6.54173,1075.7158263395659,1.0
2012-04-23,SELL,TQQQ,0.530232,13151.161950788746,6973.166903490619
2012-04-23,SELL,SPXL,6.39251,1075.7158263395659,13848.691080524557
2012-04-25,BUY,TQQQ,0.562235,24627.942195922624,1.0
2012-05-04,SELL,TQQQ,0.518109,24627.942195922624,12759.958503187276
2012-07-03,BUY,TQQQ,0.513751,12416.480457641228,6379.979251593638
2012-07-03,BUY,SPXL,6.35766,1003.1960267761468,1.0
2012-07-10,SELL,TQQQ,0.478439,12416.480457641228,5940.5284936734115
2012-07-10,SELL,SPXL,5.9137,1003.1960267761468,11872.128837219512
2012-07-13,BUY,SPXL,6.11176,1942.1784947739295,1.0
2012-07-23,SELL,SPXL,6.02497,1942.1784947739295,11701.567165658082
2012-07-26,BUY,SPXL,6.15071,1902.1490471275806,1.0
2012-10-23,SELL,SPXL,6.90458,1902.1490471275806,13133.540267816152
2012-12-07,BUY,SOXL,0.400306,32803.75579635617,0.999999999998181
2012-12-27,SELL,SOXL,0.399833,32803.75579635617,13116.024091324474
2012-12-27,BUY,SPXL,6.99717,1874.1897211764863,1.0
2012-12-28,SELL,SPXL,6.75437,1874.1897211764863,12658.970827022824
2012-12-31,BUY,SPXL,7.11342,889.6544016115191,6329.485413511412
2012-12-31,BUY,SOXL,0.413533,15301.041062046832,1.0
2013-04-02,SELL,SOXL,0.547205,15301.041062046832,8372.806174357338
2013-04-02,BUY,TQQQ,0.608662,9211.457691403984,2765.141912992006
2013-04-02,BUY,TECL,1.3653,2023.8349908386479,1.0
2013-04-05,SELL,TQQQ,0.578285,9211.457691403984,5326.847811073553
2013-04-05,SELL,TECL,1.3011,2023.8349908386479,7959.059517653717
2013-04-08,BUY,TQQQ,0.587152,13551.958466723638,1.0
