date,action,ticker,price,shares,cash_after
2010-02-16,BUY,TQQQ,0.215624,46372.388973398134,0.0
2010-05-06,SELL,TQQQ,0.247317,46372.388973398134,11467.680123733906
2010-07-29,BUY,TQQQ,0.222404,51557.88620588616,0.0
2010-07-30,SELL,TQQQ,0.223913,51557.88620588616,11543.480974018588
2010-08-03,BUY,TQQQ,0.233544,49423.153555726494,0.0
2010-08-12,SELL,TQQQ,0.211146,49423.153555726494,10434.501180677426
2010-09-13,BUY,TQQQ,0.241711,43165.18975419996,0.0
2011-03-11,SELL,TQQQ,0.403315,43165.18975419996,17408.168505715155
2011-04-05,BUY,TQQQ,0.415769,41867.40354792001,0.0
2011-04-13,SELL,TQQQ,0.410309,41867.40354792001,17177.572482343512
2011-04-14,BUY,TQQQ,0.408058,42093.45848468481,0.0
2011-04-18,SELL,TQQQ,0.397565,42093.45848468481,16733.885822463715
2011-04-21,BUY,TQQQ,0.44265,37801.617129704544,0.0
2011-05-17,SELL,TQQQ,0.423677,37801.617129704544,16014.675740661833
2011-05-19,BUY,TQQQ,0.437714,36584.79221743383,1.8189894035458565e-12
2011-05-23,SELL,TQQQ,0.409545,36584.79221743383,14982.11872868894
2011-07-07,BUY,TQQQ,0.456977,32783.091334331795,-1.8189894035458565e-12
2011-08-03,SELL,TQQQ,0.399865,32783.091334331795,13107.810816402582
2011-09-21,BUY,TQQQ,0.348456,37613.96221159223,0.0
2011-09-22,SELL,TQQQ,0.314537,37613.96221159223,11829.982832147587
2011-10-14,BUY,TQQQ,0.395792,29886.866920371274,0.0
2011-11-02,SELL,TQQQ,0.366471,29886.866920371274,10951.67000717538
2011-11-03,BUY,TQQQ,0.388845,28162.04402056187,0.0
2011-11-10,SELL,TQQQ,0.360963,28162.04402056187,10164.455895794074
2011-11-14,BUY,TQQQ,0.374759,27119.978161415933,0.0
2011-11-18,SELL,TQQQ,0.334227,27119.978161415933,9063.228940955563
2012-01-06,BUY,TQQQ,0.374759,24181.48447657178,0.0
2012-04-24,SELL,TQQQ,0.52089,24181.48447657178,12594.893449001473
2012-04-26,BUY,TQQQ,0.57225,22007.677499347265,0.0
2012-05-07,SELL,TQQQ,0.518877,22007.677499347265,11418.277677828812
2012-07-05,BUY,TQQQ,0.515618,22142.89973939779,0.0
2012-07-11,SELL,TQQQ,0.471829,22142.89973939779,10446.66224114032
2012-07-19,BUY,TQQQ,0.517774,20174.172981146836,0.0
2012-07-24,SELL,TQQQ,0.468474,20174.172981146836,9450.075513169782
2012-07-30,BUY,TQQQ,0.508911,18567.245575689623,0.0
2012-10-10,SELL,TQQQ,0.559168,18567.245575689623,10381.209574067216
2012-12-19,BUY,TQQQ,0.53392,19441.50729335334,0.0
2012-12-24,SELL,TQQQ,0.513271,19441.50729335334,9977.761889966763
2013-01-03,BUY,TQQQ,0.555385,17963.686253620035,0.0
2013-02-22,SELL,TQQQ,0.558067,17963.686253620035,10023.940496498972
2013-02-25,BUY,TQQQ,0.537273,18655.209728571826,0.0
2013-02-26,SELL,TQQQ,0.54374,18655.209728571826,10142.583737813646
2013-02-28,BUY,TQQQ,0.558165,18169.508546422017,0.0
2013-04-08,SELL,TQQQ,0.587152,18169.508546422017,10667.26328204878
2013-04-09,BUY,TQQQ,0.598698,17815.765681610395,0.0
2013-04-18,SELL,TQQQ,0.556966,17815.765681610395,9921.775748623815
2013-04-23,BUY,TQQQ,0.615514,16117.871808965865,0.0
2013-06-13,SELL,TQQQ,0.701368,16117.871808965865,11303.55951491077
2013-06-14,BUY,TQQQ,0.689007,16404.128716995285,0.0
2013-06-21,SELL,TQQQ,0.641144,16404.128716995285,10516.408702129225
